STATION,NAME,DATE,ACMH,ACSH,AWND,FMTM,FRGT,PGTM,PRCP,PSUN,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",18-04-1960,,,,,,2212,0.07,,0,0,,69,40,,,,,293,,,,,,41.4,,1,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",19-04-1960,,,,,,1418,0,,0,0,,58,38,,,,,293,,,,,,35.6,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",20-04-1960,,,,,,1330,0,,0,0,,57,39,,,,,113,,,,,,28.9,,,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",21-04-1960,,,,,,930,0,,0,0,,70,45,,,,,203,,,,,,24.2,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",22-04-1960,,,,,,1700,0.05,,0,0,,56,41,,,,,90,,,,,,26.4,,1,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",23-04-1960,,,,,,1618,0.04,,0,0,,45,40,,,,,135,,,,,,24.2,,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",24-04-1960,,,,,,2030,0.39,,0,0,,50,43,,,,,315,,,,,,32.2,,1,,1,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",25-04-1960,,,,,,718,0.02,,0,0,,57,44,,,,,360,,,,,,18.3,,1,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",26-04-1960,,,,,,1524,0,,0,0,,65,50,,,,,135,,,,,,18.3,,,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",27-04-1960,,,,,,1306,0.06,,0,0,,55,43,,,,,68,,,,,,21.9,,1,,,,,,,1,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",28-04-1960,,,,,,1230,0,,0,0,,53,42,,,,,135,,,,,,18.3,,1,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",29-04-1960,,,,,,324,0,,0,0,,56,47,,,,,23,,,,,,31.1,,,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",30-04-1960,,,,,,1348,0,,0,0,,56,46,,,,,113,,,,,,20.8,,,,,,,,,1,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",01-05-1960,,,,,,2336,0.31,,0,0,,56,45,,,,,315,,,,,,24.2,,1,,,,,,,,,,,,,,1,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",02-05-1960,,,,,,748,0,,0,0,,62,43,,,,,338,,,,,,31.1,,,,,,,,,,,,,,,,,,,,,
USW00014739,"BOSTON LOGAN INTERNATIONAL AIRPORT, MA US",03-05-1960,,,,,,1742,0,,0,0,,77,47,,,,,203,,,,,,26.4,,,,,,,,,1,,,,,,,,,,,,
